source_track_id,track_name,artists_raw
003eoIwxETJujVWmNFMoZy,Growing Pains,['Alessia Cara']
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,['The Killers']
008A8MMPCshycPlNewvCPn,Top,['YNY Sebi']
00A08eyEOT11lVaR0yBQKv,Rewind,['Angie Flores']
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"['Post Malone', 'The Weeknd']"
00Coyxt9mTec1acC52qtWa,Starlight,['TAEIL']
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"['Thalia', 'Natti Natasha']"
00FOuShzUFrNDKN4DV12GV,Juice,['Blæst']
00GxZ3NPfGo67TYC3IwAAI,Mufasa,['AKA']
00I41xsW6SunZDJ5fB8KAd,Safety Zone,['j-hope']
00IH8ZjI9ZGB51WRX1Oesj,Trust,['Justin Bieber']
00MC1lkrhAihH0IrJ5yXXM,Contigo,"['Jimmy P', 'Carolina Deslandes']"
00MEBK2Iw9z1W8q1v51Cyq,La Verdad,['Joe Crepúsculo']
00NAQYOP4AmWR549nnYJZu,Secrets,['The Weeknd']
00NRTjNn3CZPi2yzfqIXcX,Random,['Eddy de Pretto']
00NVYE5PrMpR1gVlC8zPZV,Helt Ærlig,"['Morgan Sulele', 'OnklP']"
00QhKEeS9uyJX1WgrWW33p,Agua Loca,['Aniceto Molina']
00T2QquCO91F0qF41taA32,SPIRIT ANIMAL,"['Majk Spirit', 'Grimaso']"
00VHyG13HibI1sU3RgxaoD,Hold Me,"['Rema', '6LACK']"
00VzJxS6rlNtxsDdILerlf,Þú komst með jólin til mín,"['Svala', 'Björgvin Halldórsson']"
00Wbi90nyiEUUfpGxddi2x,Don't Let Go,['Farruko']
00X2yv2vrtritPt2CZnUTZ,Bené,['PNL']
00XqyOkSIiqOygR0kezc4x,Stars,['THE TOYS']
00ZYd7GYdFrNZFQP5O5T5m,In Love,"['Ajebo Hustlers', 'Fave']"
00bAw28lKcHj3B94a1wJle,Say You Won’t Let Go,['Chlara']
00hy8cpfdBAXPcgWpsCtyk,Californication,"['Gemitaiz', 'MadMan']"
00jeEssKmB0Np3aFzXBBoj,Idéal,['Nimo']
00mei7Ys3xFx46g6J2TTmn,Marathon,"['Jebroer', 'Anita Doth']"
00pW24Ogrp16sOxTokbJz4,Sorry,['ItaloBrothers']
