source_artist_label,source_artist_key,source_country,artist_count,artist_id,country_id
"[""8 Ballin'"", 'R!S', 'Supboi K', 'EGO', ""Ya'akov""]",73647a13ca552abf6a893f8cd8d4db5ba1ac6a28c3bd48b5beb10965dd7bd188,ph,5,,36
"[""At' Fat"", 'Dubosky', 'Yemil']",9472a8314f749bb827a8d692ee20b81a217b8a8f54d48f38bb5667c21957f483,pa,3,,53
"[""BE'O"", 'ASH ISLAND']",f0cdc5a8a7479c0577cafe669a422db5557a39bb08265a2d8897d498a3303254,kr,2,,69
"[""BE'O"", 'Beenzino']",8d3e95a6445a46dd80947596ff5b8c8af3955744daec8f56b7661a11af509465,kr,2,,69
"[""BE'O"", 'Beenzino']",8d3e95a6445a46dd80947596ff5b8c8af3955744daec8f56b7661a11af509465,my,2,,37
"[""BE'O"", 'Beenzino']",8d3e95a6445a46dd80947596ff5b8c8af3955744daec8f56b7661a11af509465,sg,2,,29
"[""BE'O"", 'Beenzino']",8d3e95a6445a46dd80947596ff5b8c8af3955744daec8f56b7661a11af509465,th,2,,63
"[""BE'O"", 'Coogie', 'Loco']",05571c73134f240400892c19eb83e47007945a0143f8c1744e1a5d8a98a97047,kr,3,,69
"[""BE'O"", 'Layone']",1011b8528e80babf7fefe18fad4a66ba6cb40d3f6702bcce657397f7b45bda20,kr,2,,69
"[""BE'O"", 'MINO']",428a04992dc3b987e36fa2cc05853b5c46b97b27cf19a14dff7a2b0803e6cce8,kr,2,,69
"[""BE'O"", 'ZICO']",b427e752044abd7d39161648a09331c43d338049857b26ea8cad8738e4408dc5,kr,2,,69
"[""Carla's Dreams"", 'Deliric']",17e1dc4390bcf775520ecb9da27bd75806fb958be1dc2e9d1507a9deb271eedf,ro,2,,54
"[""Carla's Dreams"", 'EMAA']",8f2ab557b794f2f6c5dbe81b76fa70239cd1f9177c2aceee9d294f995763bab4,ro,2,,54
"[""Carla's Dreams"", 'INNA', 'Irina Rimes', 'The Motans']",2d7d1bc46a06fc94666409906e1872e8b586242c8214bfa80fbf9421b426dc60,ro,4,,54
"[""Carla's Dreams"", 'Midi Culture']",2a1381c91ad4dbd0617d2af7ce4020120f3278d56b2585f9f4e004d108d6d108,ee,2,,39
"[""Cast Of 'Brødrene Mortensens Jul'""]",83dabe60e3fd44f82ca921686ad82d314345d99fe8cba1bbef1cd1460d77b140,dk,1,,10
"[""Ch'cco"", 'Mellow & Sleazy']",c88d5e3a80b1cc6e030302ad3387174718cd3f04d3584c75a10f39150ee2dfea,za,2,,56
"[""D'Cinnamons""]",73a95c32760bbc94de7378642dbed0c9ae506d15537e76b98741487717e1b453,id,1,,44
"[""Dato' Sri Siti Nurhaliza"", 'Cakra Khan']",2315e07348f8e0567d85b95ac8ce6ef41b309c879b0f983d76aa352ca4c38983,my,2,,37
"[""Dato' Sri Siti Nurhaliza"", 'Kmy Kmo', 'Luca Sickta']",10170aa491a655f01ac3658ae359b52581aec573274507a30712700a13706a23,my,3,,37
"[""Dato' Sudirman"", 'Zaleha Hamid']",6f74e7a092965b2f6ee5f0d2a603b3bb67b60be6d5996b132af2b536cc60a97e,my,2,,37
"[""Dino d'Santiago"", 'Julinho Ksd']",c9a1e081305bad2ddc04a6dd77cc63fb8426be2ac446c6c912b45beb151c08b5,pt,2,,28
"[""Gigi D'Alessio"", 'Geolier']",be18a0896057908308f029840ca406e213a51c41a133072ec644e4f05567d733,it,2,,15
"[""Gigi D'Alessio"", 'Vale Lambo', 'MV Killa', 'LDA', 'CoCo', 'Franco Ricciardi', 'Lele Blade', 'Enzo Dong', 'Clementino', 'Geolier', 'Samurai Jay']",9aefb90fadc6bf0258d1680fa6320f71c95394afaa2909b27b8f8cf169ddec1a,it,11,,15
"[""Heuss L'enfoiré"", 'Jul']",61f01c845c01ff9df65a6592674323a38954676ade651ee0a08ee6da8b0c36c6,be,2,,11
"[""Heuss L'enfoiré"", 'Jul']",61f01c845c01ff9df65a6592674323a38954676ade651ee0a08ee6da8b0c36c6,ch,2,,17
"[""Heuss L'enfoiré"", 'Jul']",61f01c845c01ff9df65a6592674323a38954676ade651ee0a08ee6da8b0c36c6,fr,2,,19
"[""Heuss L'enfoiré"", 'Jul']",61f01c845c01ff9df65a6592674323a38954676ade651ee0a08ee6da8b0c36c6,lu,2,,48
"[""Heuss L'enfoiré"", 'Jul']",61f01c845c01ff9df65a6592674323a38954676ade651ee0a08ee6da8b0c36c6,ma,2,,70
"[""Heuss L'enfoiré"", 'Koba LaD']",d45266255e429aee77d4405c14b50db1f1d00c54d98742c1bb2e74d20cd07df1,fr,2,,19
"[""Heuss L'enfoiré"", 'Sofiane']",11e2cf5b26066c9adcd789e732657e53f4f50334d65896a095fe067c2fc5227f,be,2,,11
"[""Heuss L'enfoiré"", 'Sofiane']",11e2cf5b26066c9adcd789e732657e53f4f50334d65896a095fe067c2fc5227f,ch,2,,17
"[""Heuss L'enfoiré"", 'Sofiane']",11e2cf5b26066c9adcd789e732657e53f4f50334d65896a095fe067c2fc5227f,fr,2,,19
"[""Heuss L'enfoiré"", 'Sofiane']",11e2cf5b26066c9adcd789e732657e53f4f50334d65896a095fe067c2fc5227f,lu,2,,48
"[""Heuss L'enfoiré"", 'Sofiane']",11e2cf5b26066c9adcd789e732657e53f4f50334d65896a095fe067c2fc5227f,ma,2,,70
"[""Heuss L'enfoiré"", 'Soolking']",ea12d17cd1ee038b8c9f32c6b7b85c36450a9bb4b638588651f51cc1b7f319f3,fr,2,,19
"[""Heuss L'enfoiré"", 'Soolking']",ea12d17cd1ee038b8c9f32c6b7b85c36450a9bb4b638588651f51cc1b7f319f3,ma,2,,70
"[""Heuss L'enfoiré"", 'Vald']",fea3ca74e5daac59f4561b3c8c2419c8e549e25ecd48f87222a7bd631b16cfc4,fr,2,,19
"[""JETSET'ER"", 'Pijika']",b6c39a10d638f0d17d7ffdf873faabde1ea27cc77736470dbaf75157cb0a93a5,th,2,,63
"[""Jok'air"", 'Alonzo']",b1002e888464ce2a2fad3ab9e12c5908c1b2be56f0a1a11886055114a9076e42,fr,2,,19
"[""Jok'air"", 'Laylow']",ddfaa60592afd05ec434a34357155ff137d8a2a6ccd8c332f2fa05e17047f07d,fr,2,,19
"[""K'NAAN"", 'Adam Levine']",544c8a35f7f2cf8cb70ccd6c690cb6d208faf8ef1673def47ee11b97510377c5,bo,2,,57
"[""K'NAAN"", 'Adam Levine']",544c8a35f7f2cf8cb70ccd6c690cb6d208faf8ef1673def47ee11b97510377c5,cr,2,,32
"[""K'NAAN"", 'Adam Levine']",544c8a35f7f2cf8cb70ccd6c690cb6d208faf8ef1673def47ee11b97510377c5,ec,2,,40
"[""K'NAAN"", 'Adam Levine']",544c8a35f7f2cf8cb70ccd6c690cb6d208faf8ef1673def47ee11b97510377c5,pe,2,,30
"[""Keen' V"", 'Lorelei B']",3eb07b9ce061a08a44cf3d4051c95ce558de25e41effd1a01ad024aa7908324a,fr,2,,19
"[""L'Algérino"", ""Heuss L'enfoiré""]",bb8dfb11c336444d916d889103460ea6a06e3e43191c1da18da45138fb713b95,fr,2,,19
"[""L'Algérino"", 'Boef']",0bb3689e6294e33024a0e5216d919e94f57de5a1dbd6bbbdc2db8cb9cc88153c,nl,2,,6
"[""L'Algérino"", 'SCH', 'Jul']",bac1c8ac4b6226e701060a2d19e411dda18ac418afd2fafefee021bb552df4d4,fr,3,,19
"[""L'Algérino"", 'Soolking']",c94872f614c22e6cbe39dda136d6a27be0a6d522e24df388acacc4ca1b50b498,fr,2,,19
"[""L'Algérino"", 'Soolking']",c94872f614c22e6cbe39dda136d6a27be0a6d522e24df388acacc4ca1b50b498,ma,2,,70
"[""L'Omy""]",8a52e5e3fb60beee15520adde19183c8736d0fba92e32ccc309d8c2e1eca3aff,co,1,,26
"[""L'morphine"", 'Hamza15-3']",5beeaf7cfc2189d74ee27125384aaa8cbae9ba1071534dad5e66567404b16d9f,ma,2,,70
"[""L'morphine"", 'Mobydick']",8d0594b23b1836c9513adc22ddc89e88ea29779c614a85142cbd0e93e342a524,ma,2,,70
"[""L'morphine"", 'Raid']",bbb0f089199db00e65491963ff823b8fa9dcfe1e2908a40b6c881f8767bff77b,ma,2,,70
"[""La K'onga"", 'Matías Valdez']",34a83cb17e576007b7cec2257e704fa3ff3608dda05f0c2062be6b7aa2a22337,ar,2,,23
"[""La K'onga"", 'Nahuel Pennisi']",c2e81293607d168128accaf0865f69fe6b878d2e3ab7154a05163be414159241,ar,2,,23
"[""La K'onga"", 'Nahuel Pennisi']",c2e81293607d168128accaf0865f69fe6b878d2e3ab7154a05163be414159241,uy,2,,49
"[""Leat'eq""]",92d48fe2d4b12b35cdd2f410ca20edb910117d40bc7e60092c019197d1b6542e,sa,1,,67
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,bo,2,,57
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,cl,2,,25
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,ec,2,,40
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,es,2,,9
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,gt,2,,45
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,pe,2,,30
"[""Los Cadillac's"", 'Wisin']",1494ab455ea2d091d55775721040f3dbd3a2310d452df2aa8202b8602dc88553,sv,2,,47
"[""N'Samble""]",83ad26935d0e0f3f5df263694f907794d3f195a7193ddd4b4bf42313caeed685,pe,1,,30
"[""Opetaia Foa'i"", 'Lin-Manuel Miranda']",d51af44fa14e0d789c208a69b297802b0926c835d098a4cf2798dd3315230302,nz,2,,27
"[""Pavell & Venci Venc'"", 'Kristian Kostov']",a41541185f145b5338ca9892adbde6f1349172aa90122a9b27385572834eb103,bg,2,,62
"[""Pavell & Venci Venc'"", 'Lubo Kirov']",0fc615da731c55d2784b615e5932adcf55148b71954aa6a24a468f6a2271fd48,bg,2,,62
"[""Pavell & Venci Venc'"", 'Mihaela Fileva']",89780b03b2ca19a8a8f35cc62d5b0f081eb4562813d517e72c36feffc1aa43fe,bg,2,,62
"[""Pavell & Venci Venc'"", 'Moisey']",031474941f43fe79aacfe943cb966e3597f670a6e79c4ac1e8397cb1192953eb,bg,2,,62
"[""Q' Lokura"", 'Banda Mix']",3bb8a285855ed5728813ec87c1a3c64343e433fc1c8af4343e8a27ad2ec02d4f,ar,2,,23
"[""Ra'is"", 'Noah']",c4ac525dcaecdfe27ae111cbd22af1beed4103caa139f81b1319f06fdc3a8e4d,de,2,,8
"[""Radistai Dj's"", 'Beatrich']",fe0014b096bf84be3ac835128f1e6342e87a4a2247a684687e10280542f15c1c,lt,2,,46
"[""Radistai Dj's"", 'Justinas Jarutis']",66af5d47879a45817a60c650c314f5c7f3ed0d80b6a06c33d30d90abea9b4d84,lt,2,,46
"[""Rag'n'Bone Man"", 'P!nk']",e34d40c043e7e74bfacd1303176f61b2039c4afa3438921af849bd202aab3445,gb,2,,4
"[""Ramil'"", 'Elena Temnikova']",abff50ffb0a769c5e7e288251f4d9e93e13b725adda3db9f725f10636769e406,ru,2,,71
"[""Ramil'"", 'Rompasso']",1e9f38c901974f3ca8a51267a2f8ac4f2aa1eed0c7cfdf694bacfb0c1a2b0bcc,ru,2,,71
"[""Rim'K"", 'AP']",c2761e8e9e08577066ea6be4ddf6f8f8a2d0fec19b2ca059932c0579b57d08b9,fr,2,,19
"[""Rim'K"", 'Dadju']",d19ee4d601b1e85ac34e422fb4ee8f040d793973b054d55e25880a7a96934d13,fr,2,,19
"[""Rim'K"", 'Koba LaD', 'SCH']",fa550226d5aec137c9f2093651d0476f19005580e3b3cf994fbbb1d81831d30b,fr,3,,19
"[""Rim'K"", 'Lartiste']",cd779042469d7b030a6ce412a214aba903a250cc29469a150512b10069eed168,fr,2,,19
"[""Rim'K"", 'Morad']",0966e00fbb8f0f2ab13fa22b73ecdb47367670d1eaf03c8175668d3100e6daae,fr,2,,19
"[""Rim'K"", 'Ninho']",24ddca2e9637bec38e2d4ed9b0adc4bbe2352acb8b452e4f1ac4ebea52db0bca,be,2,,11
"[""Rim'K"", 'Ninho']",24ddca2e9637bec38e2d4ed9b0adc4bbe2352acb8b452e4f1ac4ebea52db0bca,ch,2,,17
"[""Rim'K"", 'Ninho']",24ddca2e9637bec38e2d4ed9b0adc4bbe2352acb8b452e4f1ac4ebea52db0bca,fr,2,,19
"[""Rim'K"", 'Ninho']",24ddca2e9637bec38e2d4ed9b0adc4bbe2352acb8b452e4f1ac4ebea52db0bca,lu,2,,48
"[""Rim'K"", 'PLK']",66ee9a28ea44545780041c16901e2fa2615f485dceb1c1f5b0ed56c89a782454,fr,2,,19
"[""Rim'K"", 'Vald']",cee1d572a7d9729c95c182596decbe47cd54077dfb18e6769c251d0b7893f972,fr,2,,19
