source_track_id,source_country,track_id,country_id
003eoIwxETJujVWmNFMoZy,au,,5
003eoIwxETJujVWmNFMoZy,ca,,12
003eoIwxETJujVWmNFMoZy,lt,,46
003eoIwxETJujVWmNFMoZy,tw,,35
003vvx7Niy0yvhvHt4a68B,at,,24
003vvx7Niy0yvhvHt4a68B,au,,5
003vvx7Niy0yvhvHt4a68B,be,,11
003vvx7Niy0yvhvHt4a68B,br,,18
003vvx7Niy0yvhvHt4a68B,ca,,12
003vvx7Niy0yvhvHt4a68B,de,,8
003vvx7Niy0yvhvHt4a68B,gb,,4
003vvx7Niy0yvhvHt4a68B,gr,,42
003vvx7Niy0yvhvHt4a68B,hu,,31
003vvx7Niy0yvhvHt4a68B,ie,,16
003vvx7Niy0yvhvHt4a68B,lt,,46
003vvx7Niy0yvhvHt4a68B,lu,,48
003vvx7Niy0yvhvHt4a68B,lv,,41
003vvx7Niy0yvhvHt4a68B,mt,,61
003vvx7Niy0yvhvHt4a68B,nz,,27
003vvx7Niy0yvhvHt4a68B,pe,,30
003vvx7Niy0yvhvHt4a68B,pt,,28
003vvx7Niy0yvhvHt4a68B,py,,55
003vvx7Niy0yvhvHt4a68B,us,,3
008A8MMPCshycPlNewvCPn,ro,,54
00Blm7zeNqgYLPtW6zg8cj,ae,,65
00Blm7zeNqgYLPtW6zg8cj,at,,24
00Blm7zeNqgYLPtW6zg8cj,au,,5
00Blm7zeNqgYLPtW6zg8cj,be,,11
00Blm7zeNqgYLPtW6zg8cj,bg,,62
00Blm7zeNqgYLPtW6zg8cj,ca,,12
00Blm7zeNqgYLPtW6zg8cj,ch,,17
00Blm7zeNqgYLPtW6zg8cj,cy,,64
00Blm7zeNqgYLPtW6zg8cj,cz,,21
00Blm7zeNqgYLPtW6zg8cj,de,,8
00Blm7zeNqgYLPtW6zg8cj,dk,,10
00Blm7zeNqgYLPtW6zg8cj,ee,,39
00Blm7zeNqgYLPtW6zg8cj,eg,,68
00Blm7zeNqgYLPtW6zg8cj,fi,,13
00Blm7zeNqgYLPtW6zg8cj,fr,,19
00Blm7zeNqgYLPtW6zg8cj,gb,,4
00Blm7zeNqgYLPtW6zg8cj,gr,,42
00Blm7zeNqgYLPtW6zg8cj,hk,,38
00Blm7zeNqgYLPtW6zg8cj,hn,,58
00Blm7zeNqgYLPtW6zg8cj,hu,,31
00Blm7zeNqgYLPtW6zg8cj,ie,,16
00Blm7zeNqgYLPtW6zg8cj,il,,33
00Blm7zeNqgYLPtW6zg8cj,is,,43
00Blm7zeNqgYLPtW6zg8cj,it,,15
00Blm7zeNqgYLPtW6zg8cj,kr,,69
00Blm7zeNqgYLPtW6zg8cj,lt,,46
00Blm7zeNqgYLPtW6zg8cj,lu,,48
00Blm7zeNqgYLPtW6zg8cj,lv,,41
00Blm7zeNqgYLPtW6zg8cj,ma,,70
00Blm7zeNqgYLPtW6zg8cj,my,,37
00Blm7zeNqgYLPtW6zg8cj,nl,,6
00Blm7zeNqgYLPtW6zg8cj,no,,7
00Blm7zeNqgYLPtW6zg8cj,nz,,27
00Blm7zeNqgYLPtW6zg8cj,pa,,53
00Blm7zeNqgYLPtW6zg8cj,ph,,36
00Blm7zeNqgYLPtW6zg8cj,pt,,28
00Blm7zeNqgYLPtW6zg8cj,ro,,54
00Blm7zeNqgYLPtW6zg8cj,sa,,67
00Blm7zeNqgYLPtW6zg8cj,se,,2
00Blm7zeNqgYLPtW6zg8cj,sg,,29
00Blm7zeNqgYLPtW6zg8cj,sk,,52
00Blm7zeNqgYLPtW6zg8cj,th,,63
00Blm7zeNqgYLPtW6zg8cj,tw,,35
00Blm7zeNqgYLPtW6zg8cj,us,,3
00Blm7zeNqgYLPtW6zg8cj,vn,,51
00Blm7zeNqgYLPtW6zg8cj,za,,56
00Coyxt9mTec1acC52qtWa,kr,,69
00EPIEnX1JFjff8sC6bccd,ar,,23
00EPIEnX1JFjff8sC6bccd,bo,,57
00EPIEnX1JFjff8sC6bccd,cl,,25
00EPIEnX1JFjff8sC6bccd,co,,26
00EPIEnX1JFjff8sC6bccd,cr,,32
00EPIEnX1JFjff8sC6bccd,do,,60
00EPIEnX1JFjff8sC6bccd,ec,,40
00EPIEnX1JFjff8sC6bccd,es,,9
00EPIEnX1JFjff8sC6bccd,gt,,45
00EPIEnX1JFjff8sC6bccd,hn,,58
00EPIEnX1JFjff8sC6bccd,mt,,61
00EPIEnX1JFjff8sC6bccd,mx,,14
00EPIEnX1JFjff8sC6bccd,ni,,59
00EPIEnX1JFjff8sC6bccd,pa,,53
00EPIEnX1JFjff8sC6bccd,pe,,30
00EPIEnX1JFjff8sC6bccd,py,,55
00EPIEnX1JFjff8sC6bccd,sv,,47
00EPIEnX1JFjff8sC6bccd,uy,,49
00FOuShzUFrNDKN4DV12GV,dk,,10
00IH8ZjI9ZGB51WRX1Oesj,au,,5
00IH8ZjI9ZGB51WRX1Oesj,ca,,12
00IH8ZjI9ZGB51WRX1Oesj,gb,,4
00IH8ZjI9ZGB51WRX1Oesj,is,,43
00IH8ZjI9ZGB51WRX1Oesj,nl,,6
00IH8ZjI9ZGB51WRX1Oesj,nz,,27
00IH8ZjI9ZGB51WRX1Oesj,ph,,36
00IH8ZjI9ZGB51WRX1Oesj,us,,3
00NAQYOP4AmWR549nnYJZu,bg,,62
00NAQYOP4AmWR549nnYJZu,ca,,12
00NAQYOP4AmWR549nnYJZu,ee,,39
00NAQYOP4AmWR549nnYJZu,gr,,42
00NAQYOP4AmWR549nnYJZu,is,,43
00NAQYOP4AmWR549nnYJZu,lt,,46
00NAQYOP4AmWR549nnYJZu,lv,,41
00NAQYOP4AmWR549nnYJZu,mt,,61
00NAQYOP4AmWR549nnYJZu,pl,,20
00NAQYOP4AmWR549nnYJZu,pt,,28
00NAQYOP4AmWR549nnYJZu,sk,,52
00NAQYOP4AmWR549nnYJZu,us,,3
00NRTjNn3CZPi2yzfqIXcX,fr,,19
00NVYE5PrMpR1gVlC8zPZV,no,,7
00VHyG13HibI1sU3RgxaoD,ng,,66
00Wbi90nyiEUUfpGxddi2x,do,,60
00Wbi90nyiEUUfpGxddi2x,pa,,53
00X2yv2vrtritPt2CZnUTZ,be,,11
00X2yv2vrtritPt2CZnUTZ,ch,,17
00X2yv2vrtritPt2CZnUTZ,fr,,19
00X2yv2vrtritPt2CZnUTZ,lu,,48
00X2yv2vrtritPt2CZnUTZ,ma,,70
00XqyOkSIiqOygR0kezc4x,th,,63
00ZYd7GYdFrNZFQP5O5T5m,ng,,66
00pW24Ogrp16sOxTokbJz4,dk,,10
00qZC0FlaCP0BiefyKDqnt,tr,,34
00uY4XZhrmcr3VLHvLba10,se,,2
00vk0sEfb6mr2ehwSw0Uhn,at,,24
00vk0sEfb6mr2ehwSw0Uhn,au,,5
00vk0sEfb6mr2ehwSw0Uhn,be,,11
00vk0sEfb6mr2ehwSw0Uhn,bg,,62
00vk0sEfb6mr2ehwSw0Uhn,ch,,17
00vk0sEfb6mr2ehwSw0Uhn,de,,8
00vk0sEfb6mr2ehwSw0Uhn,dk,,10
00vk0sEfb6mr2ehwSw0Uhn,ee,,39
00vk0sEfb6mr2ehwSw0Uhn,es,,9
00vk0sEfb6mr2ehwSw0Uhn,fi,,13
00vk0sEfb6mr2ehwSw0Uhn,fr,,19
00vk0sEfb6mr2ehwSw0Uhn,gr,,42
00vk0sEfb6mr2ehwSw0Uhn,hu,,31
00vk0sEfb6mr2ehwSw0Uhn,ie,,16
00vk0sEfb6mr2ehwSw0Uhn,is,,43
00vk0sEfb6mr2ehwSw0Uhn,it,,15
00vk0sEfb6mr2ehwSw0Uhn,lt,,46
00vk0sEfb6mr2ehwSw0Uhn,lu,,48
00vk0sEfb6mr2ehwSw0Uhn,lv,,41
00vk0sEfb6mr2ehwSw0Uhn,mt,,61
00vk0sEfb6mr2ehwSw0Uhn,nl,,6
00vk0sEfb6mr2ehwSw0Uhn,no,,7
00vk0sEfb6mr2ehwSw0Uhn,pl,,20
00vk0sEfb6mr2ehwSw0Uhn,pt,,28
00vk0sEfb6mr2ehwSw0Uhn,se,,2
00vk0sEfb6mr2ehwSw0Uhn,sk,,52
00vk0sEfb6mr2ehwSw0Uhn,tr,,34
00wNUmB4MzvMHlAt1hSLzL,nl,,6
00xE0XQaGE9ScphTFr0PJM,dk,,10
00xoWQd2gzMQrUYohWV1lW,ma,,70
011GTFfE8rqTRMhz5g8IAW,ph,,36
011OJyic8zeFT0zEqdGFIC,tr,,34
017PF4Q3l4DBUiWoXk4OWT,ae,,65
017PF4Q3l4DBUiWoXk4OWT,ar,,23
017PF4Q3l4DBUiWoXk4OWT,at,,24
017PF4Q3l4DBUiWoXk4OWT,au,,5
017PF4Q3l4DBUiWoXk4OWT,be,,11
017PF4Q3l4DBUiWoXk4OWT,bg,,62
017PF4Q3l4DBUiWoXk4OWT,bo,,57
017PF4Q3l4DBUiWoXk4OWT,br,,18
