database_track_id,source_track_id,database_track_name,track_id,artists,name
4656,6VgXbdABd6Jn93tT5OQo6L,جابك الطاري,6VgXbdABd6Jn93tT5OQo6L,['عبدالله ال فروان'],جابك الطاري
4684,1uv1aff3WQJRpRgauvB37F,مع السلامة للي عايز يمشي,1uv1aff3WQJRpRgauvB37F,['أوشا الصغير و عمر حفظي'],مع السلامة للي عايز يمشي
4745,07J0cXe2zkm7NvIBELXfBy,Бiблiотека,07J0cXe2zkm7NvIBELXfBy,['Колос'],Бiблiотека
4955,5cqjXHVSyVz2LP9r6K304N,陪你看星星,5cqjXHVSyVz2LP9r6K304N,['陈子晴'],陪你看星星
5597,5vSNZkeesxul81fmuuZd2n,เพลงที่เพิ่งเขียนจบ (OUR SONG) - เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES,5vSNZkeesxul81fmuuZd2n,['นนน กรภัทร์'],เพลงที่เพิ่งเขียนจบ (OUR SONG) - เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES
5742,2UYBoHQfheo5OtnjRd9by1,希望の轍,2UYBoHQfheo5OtnjRd9by1,['稲村オーケストラ'],希望の轍
5844,566QkMY1DsFd76WIorqNqG,Когда исчезнет Слово,566QkMY1DsFd76WIorqNqG,['МОТ'],Когда исчезнет Слово
5963,15ikUOToS4kR3AMbgguVLi,記憶邊境,15ikUOToS4kR3AMbgguVLi,['陳惠婷'],記憶邊境
6169,7ikzyfOtSF3Iav7HAGeW4V,葬予規路火烌猶在,7ikzyfOtSF3Iav7HAGeW4V,['珂拉琪'],葬予規路火烌猶在
6178,47evFVOowy67KpHVWWomRT,越界,47evFVOowy67KpHVWWomRT,['李振源'],越界
6334,3uNvdANQioZ21IyExMTRwa,Мне очень жаль,3uNvdANQioZ21IyExMTRwa,['курящих нет'],Мне очень жаль
6391,3kQvyf0lMEpcn0xGWM1blY,我也難過的,3kQvyf0lMEpcn0xGWM1blY,"['吳林峰', '謝芊彤']",我也難過的
6484,1sPu1euMR0UlTMFFWHh4wB,夜行,1sPu1euMR0UlTMFFWHh4wB,['ヨルシカ'],夜行
6492,5gdERhZjshqCGHnCPWJhqM,علي باب السيما - من مسلسل ريفو,5gdERhZjshqCGHnCPWJhqM,['ريفو شو'],علي باب السيما - من مسلسل ريفو
6633,2XTK3wd2kNpQEwTBboIQaq,遇到,2XTK3wd2kNpQEwTBboIQaq,['方雅賢'],遇到
6684,0VczovvOr8bGZYluYpeFKL,Truly,0VczovvOr8bGZYluYpeFKL,['宋楚琳'],Truly
6840,5KchTsXkMzTri0BCXDDcnN,เจ็บละเนาะ,5KchTsXkMzTri0BCXDDcnN,"['เพชร-แตน', 'เอ มหาหิงค์']",เจ็บละเนาะ
6972,1GpbSYjurHKlxhcxCZ1Bqa,从前说,1GpbSYjurHKlxhcxCZ1Bqa,['小阿七'],从前说
7247,4QMUlfeVwnb75F4IfnJdY4,Вина,4QMUlfeVwnb75F4IfnJdY4,['Три дня дождя'],Вина
7687,2TYYKysNZDTFzrm7Mr443o,又到天黑,2TYYKysNZDTFzrm7Mr443o,['告五人'],又到天黑
7944,1jIVULaXnINSJMcEvcrgHt,仗着,1jIVULaXnINSJMcEvcrgHt,['陈壹千'],仗着
8017,1ZYPI5JRIynWkMzPVpdFb5,我不祝福,1ZYPI5JRIynWkMzPVpdFb5,['陶晶瑩'],我不祝福
8673,3Q49Z1JyvTzvQUqPiIdpVu,好想你,3Q49Z1JyvTzvQUqPiIdpVu,['四葉草'],好想你
8860,1rgncjmlpHMP3DBhpagyVb,ギターと孤独と蒼い惑星,1rgncjmlpHMP3DBhpagyVb,['結束バンド'],ギターと孤独と蒼い惑星
8972,006u4CXVO2cusq08RrMElQ,10月無口な君を忘れる,006u4CXVO2cusq08RrMElQ,['あたらよ'],10月無口な君を忘れる
