source_artist_label,match_status
"Elton John, Dua Lipa, PNAU",artist_not_found
"The Weeknd, Daft Punk",artist_not_found
"Major Lazer, MØ, DJ Snake",artist_not_found
"Mark Ronson, Bruno Mars",artist_not_found
"The Chainsmokers, Coldplay",artist_not_found
"Drake, Wizkid, Kyla",artist_not_found
"Avicii, Sandro Cavazza",artist_not_found
"Sam Smith, John Legend",artist_not_found
"Pitbull, Ne-Yo",artist_not_found
"Disclosure, Sam Smith",artist_not_found
"Avicii, Rita Ora",artist_not_found
Family of the Year,artist_not_found
"Flo Rida, Sage The Gemini, Lookas",artist_not_found
"OMI, Felix Jaehn",artist_not_found
"Wiz Khalifa, Charlie Puth",artist_not_found
"AronChupa, Little Sis Nora",artist_not_found
"Pitbull, Chris Brown",artist_not_found
"Luis Fonsi, Daddy Yankee",artist_not_found
"Tiësto, KSHMR, VASSY",artist_not_found
"Enrique Iglesias, Descemer Bueno, Gente De Zona",artist_not_found
"Linkin Park, Kiiara",artist_not_found
"Nicky Jam, Enrique Iglesias",artist_not_found
"Bad Bunny, Drake",artist_not_found
"Eminem, Nate Dogg",artist_not_found
"Robin Schulz, Ilsey",artist_not_found
"BTS, Halsey",artist_not_found
"Fifth Harmony, Kid Ink",artist_not_found
"Martin Garrix, Usher",artist_not_found
"DJ Snake, AlunaGeorge",artist_not_found
"DJ Snake, Justin Bieber",artist_not_found
"Light, Hawk",artist_not_found
"Robin Schulz, Francesco Yates",artist_not_found
"Flo Rida, Robin Thicke, Verdine White",artist_not_found
"Calvin Harris, Ellie Goulding",artist_not_found
"Gente De Zona, Marc Anthony",artist_not_found
"Fetty Wap, Remy Boyz",artist_not_found
"Dua Lipa, DaBaby",artist_not_found
"Bizarrap, Nicky Jam",artist_not_found
"Deorro, Chris Brown",artist_not_found
"Rae Sremmurd, Gucci Mane",artist_not_found
"Meghan Trainor, John Legend",artist_not_found
"Jeremih, Flo Rida",artist_not_found
"Felix Jaehn, Jasmine Thompson",artist_not_found
"Lilly Wood and The Prick, Robin Schulz",artist_not_found
"David Guetta, Afrojack, Bebe Rexha, Nicki Minaj",artist_not_found
"KALUSH, Kalush Orchestra",artist_not_found
"Marshmello, Bastille",artist_not_found
"Kygo, Parson James",artist_not_found
"Omarion, Chris Brown, Jhené Aiko",artist_not_found
"Jack Ü, Skrillex, Diplo, Justin Bieber",artist_not_found
"Matoma, The Notorious B.I.G., Ja Rule, Ralph Tresvant",artist_not_found
"Kygo, Conrad Sewell",artist_not_found
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",artist_not_found
"A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",artist_not_found
"Post Malone, 21 Savage",artist_not_found
"JóiPé, Króli",artist_not_found
"Mike Posner, Seeb",artist_not_found
"Selena Gomez, Marshmello",artist_not_found
"SNIK, SALVA",artist_not_found
