source_index,source_track_id,source_track_name,source_country,source_date,source_streams,source_chart_position,match_status
13107,011OJyic8zeFT0zEqdGFIC,Yalan,tr,2018-05-31,77171,161,observation_not_found
13108,011OJyic8zeFT0zEqdGFIC,Yalan,tr,2018-06-07,68319,192,observation_not_found
13109,011OJyic8zeFT0zEqdGFIC,Yalan,tr,2018-06-14,69327,171,observation_not_found
13110,011OJyic8zeFT0zEqdGFIC,Yalan,tr,2018-06-21,62149,197,observation_not_found
36433,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-08-13,12464,140,ambiguous_observation
36434,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-08-20,12071,144,ambiguous_observation
36435,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-08-27,10578,156,ambiguous_observation
36436,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-09-03,10877,153,ambiguous_observation
36437,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-09-10,10068,155,ambiguous_observation
36438,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-09-17,9552,162,ambiguous_observation
36439,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-09-24,8440,193,ambiguous_observation
36440,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),be,2015-10-01,8845,188,ambiguous_observation
36461,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-02-08,36254,184,ambiguous_observation
36472,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-07-02,82896,116,ambiguous_observation
36473,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-07-09,55785,122,ambiguous_observation
36474,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-07-16,35153,129,ambiguous_observation
36475,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-07-23,77571,128,ambiguous_observation
36476,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-07-30,43106,128,ambiguous_observation
36477,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-08-06,74930,138,ambiguous_observation
36478,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-08-13,74455,143,ambiguous_observation
36479,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-08-20,75078,143,ambiguous_observation
36480,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-08-27,75427,151,ambiguous_observation
36481,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-09-03,77334,141,ambiguous_observation
36482,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-09-10,76600,145,ambiguous_observation
36483,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-09-17,85512,128,ambiguous_observation
36484,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-09-24,96382,124,ambiguous_observation
36485,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-10-01,166789,57,ambiguous_observation
36486,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-10-08,111427,100,ambiguous_observation
36487,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-10-15,93408,136,ambiguous_observation
36488,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-10-22,83010,158,ambiguous_observation
36489,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-10-29,79331,168,ambiguous_observation
36490,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-11-05,76930,170,ambiguous_observation
36491,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),br,2015-11-12,77589,181,ambiguous_observation
36517,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),ch,2015-08-06,10056,135,ambiguous_observation
36518,0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),ch,2015-08-13,9187,155,ambiguous_observation
