artist_label,total_observations,final_pca_anomalies,high_priority_anomalies,extreme_anomalies,positive_anomalies,negative_anomalies,flat_anomalies,mean_pca_score,maximum_pca_score,mean_anomaly_score_ratio,maximum_anomaly_score_ratio,unique_tracks,unique_countries,latest_observation_date,anomaly_rate_pct,high_priority_share_pct,negative_direction_share_pct,positive_direction_share_pct,strongest_anomaly_track_id,strongest_anomaly_date,strongest_anomaly_country,strongest_anomaly_streams,strongest_anomaly_chart_position,strongest_anomaly_direction,strongest_anomaly_severity,strongest_anomaly_pca_score,strongest_anomaly_score_ratio,artist_level_explanation,artist_review_score
"Elton John, Dua Lipa, PNAU",6525,82,48,31,34,48,0,0.017090241432375797,6.056146367281645,0.17956419038185625,63.630875173878366,2,67,2023-04-06,1.2567049808429118,58.53658536585366,58.53658536585366,41.46341463414634,6JIC3hbC28JZKZ8AlAqX8h,2022-08-18,nl,461545.0,39.0,Negative,Extreme,6.056146367281645,63.630875173878366,"82 frozen-threshold PCA anomalies were identified from 6,525 model-eligible observations, producing an artist-level anomaly rate of 1.257%. The dominant anomaly direction was negative, with 48 negative, 34 positive and 0 flat-direction anomalies. 48 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 63.63 times the frozen PCA anomaly threshold and was classified as Extreme with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",381
XXXTENTACION,14907,316,17,0,27,289,0,0.010895226086077332,0.3035305440425873,0.1144742430301518,3.1891425649447243,12,69,2022-11-10,2.1198094854766216,5.379746835443038,91.45569620253164,8.544303797468354,6eYxmK9fdL4hwLnXG2zY3s,2021-04-01,bg,5952.0,179.0,Negative,Very High,0.3035305440425873,3.1891425649447243,"316 frozen-threshold PCA anomalies were identified from 14,907 model-eligible observations, producing an artist-level anomaly rate of 2.120%. The dominant anomaly direction was negative, with 289 negative, 27 positive and 0 flat-direction anomalies. 17 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 3.19 times the frozen PCA anomaly threshold and was classified as Very High with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",367
"The Weeknd, Daft Punk",9794,82,45,3,17,63,2,0.00993921813719492,12.251286917873044,0.10442963400464751,128.72213802528375,3,70,2023-04-06,0.8372472942617929,54.8780487804878,76.82926829268293,20.73170731707317,7MXVkk9YMctZqd1Srtv4MB,2022-08-18,in,895899.0,88.0,Positive,Extreme,12.251286917873044,128.72213802528375,"82 frozen-threshold PCA anomalies were identified from 9,794 model-eligible observations, producing an artist-level anomaly rate of 0.837%. The dominant anomaly direction was negative, with 63 negative, 17 positive and 2 flat-direction anomalies. 45 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 128.72 times the frozen PCA anomaly threshold and was classified as Extreme with positive direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",232
"Major Lazer, MØ, DJ Snake",5139,62,23,17,21,41,0,0.023425878285092034,11.939791679382324,0.24613162341157752,125.44931180286251,1,57,2018-08-16,1.2064604008561977,37.096774193548384,66.12903225806451,33.87096774193548,4WjH9Bzt3kx7z8kl0awxh4,2015-07-23,ni,11067.0,1.0,Positive,Extreme,11.939791679382324,125.44931180286251,"62 frozen-threshold PCA anomalies were identified from 5,139 model-eligible observations, producing an artist-level anomaly rate of 1.206%. The dominant anomaly direction was negative, with 41 negative, 21 positive and 0 flat-direction anomalies. 23 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 125.45 times the frozen PCA anomaly threshold and was classified as Extreme with positive direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",216
Billie Eilish,17953,124,28,1,56,67,1,0.007750643134637484,0.47208622097969055,0.08143465760368723,4.96012770773736,28,71,2022-11-10,0.6906923633933048,22.580645161290324,54.03225806451613,45.16129032258065,3ZCTVFBt2Brf31RLEnCkWJ,2020-01-16,no,549019.0,8.0,Negative,Extreme,0.47208622097969055,4.96012770773736,"124 frozen-threshold PCA anomalies were identified from 17,953 model-eligible observations, producing an artist-level anomaly rate of 0.691%. The dominant anomaly direction was negative, with 67 negative, 56 positive and 1 flat-direction anomalies. 28 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 4.96 times the frozen PCA anomaly threshold and was classified as Extreme with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",213
The Weeknd,29316,169,14,0,65,101,3,0.009098588068273617,0.3873400092124939,0.09559728027027936,4.069714019661652,36,74,2023-04-06,0.5764770091417656,8.284023668639053,59.76331360946745,38.46153846153846,4WGyY671Z37inSpCTBJoIm,2015-09-17,gt,5931.0,56.0,Negative,Very High,0.3873400092124939,4.069714019661652,"169 frozen-threshold PCA anomalies were identified from 29,316 model-eligible observations, producing an artist-level anomaly rate of 0.576%. The dominant anomaly direction was negative, with 101 negative, 65 positive and 3 flat-direction anomalies. 14 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 4.07 times the frozen PCA anomaly threshold and was classified as Very High with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",211
Ed Sheeran,51277,177,10,0,59,112,6,0.008351399180256184,0.3705651187605342,0.08774669675043507,3.893463167111131,41,72,2022-11-10,0.34518400062406146,5.649717514124294,63.27683615819209,33.333333333333336,3rmo8F54jFF8OgYsqTxm5d,2021-09-16,ua,52930.0,33.0,Negative,Very High,0.3705651187605342,3.893463167111131,"177 frozen-threshold PCA anomalies were identified from 51,277 model-eligible observations, producing an artist-level anomaly rate of 0.345%. The dominant anomaly direction was negative, with 112 negative, 59 positive and 6 flat-direction anomalies. 10 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 3.89 times the frozen PCA anomaly threshold and was classified as Very High with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",207
Feid,1695,43,21,10,19,24,0,0.018004614719296562,1.2610135110876257,0.1891713512650071,13.249249349402193,22,19,2023-04-06,2.5368731563421827,48.83720930232558,55.81395348837209,44.18604651162791,1sbNEFiURUYfy024cJX8JG,2022-08-18,co,988999.0,8.0,Negative,Extreme,1.2610135110876257,13.249249349402193,"43 frozen-threshold PCA anomalies were identified from 1,695 model-eligible observations, producing an artist-level anomaly rate of 2.537%. The dominant anomaly direction was negative, with 24 negative, 19 positive and 0 flat-direction anomalies. 21 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 13.25 times the frozen PCA anomaly threshold and was classified as Extreme with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",156
Justin Bieber,17452,77,13,8,27,46,4,0.008090891989939232,1.0229501724243164,0.08500959307036066,10.747959309947424,20,70,2022-11-10,0.44121017648407057,16.883116883116884,59.74025974025974,35.064935064935064,69bp2EbF7Q2rqc5N3ylezZ,2016-02-04,ad,1080.0,2.0,Negative,Extreme,1.0229501724243164,10.747959309947424,"77 frozen-threshold PCA anomalies were identified from 17,452 model-eligible observations, producing an artist-level anomaly rate of 0.441%. The dominant anomaly direction was negative, with 46 negative, 27 positive and 4 flat-direction anomalies. 13 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 10.75 times the frozen PCA anomaly threshold and was classified as Extreme with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",156
"Mark Ronson, Bruno Mars",3860,125,5,3,32,93,0,0.016373976296818755,1.5561645030975342,0.17203851734359238,16.350349420479034,1,57,2018-05-24,3.238341968911917,4.0,74.4,25.6,32OlwWuMpZ6b0aN2RZOeMS,2015-03-22,bg,2059.0,1.0,Negative,Extreme,1.5561645030975342,16.350349420479034,"125 frozen-threshold PCA anomalies were identified from 3,860 model-eligible observations, producing an artist-level anomaly rate of 3.238%. The dominant anomaly direction was negative, with 93 negative, 32 positive and 0 flat-direction anomalies. 5 anomaly observations were classified as Very High or Extreme review priorities. The strongest observed anomaly reached 16.35 times the frozen PCA anomaly threshold and was classified as Extreme with negative direction. These results indicate unusual multivariate streaming behaviour relative to the frozen PCA model. They should be treated as analytical review signals rather than proof of a particular real-world event or causal explanation.",155
