review_rank,source_index,date,model_partition,pca_reconstruction_error,anomaly_score_ratio,is_final_pca_anomaly,anomaly_score_margin,anomaly_score_excess_pct,anomaly_direction,anomaly_severity,track_id,artist,country,streams,position,severity_rank,is_high_priority_review,priority_score
1,5032126,2022-08-18,Test,12.251286917873044,128.72213802528375,True,12.156110694840867,12772.213802528375,Positive,Extreme,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",in,895899,88,4,True,386.16641407585126
2,2966983,2015-07-23,Training,11.939791679382324,125.44931180286251,True,11.844615456350148,12444.93118028625,Positive,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",ni,11067,1,4,True,376.34793540858755
3,511975,2013-09-22,Training,11.690001487731934,122.82480976136058,True,11.594825264699757,12182.480976136058,Negative,Extreme,0nrRP2bk19rLc0orkWPQk2,['Avicii'],lu,1214,1,4,True,368.47442928408174
4,2966982,2015-07-16,Training,11.65617561340332,122.46940719072929,True,11.560999390371144,12146.940719072929,Negative,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",ni,4966,1,4,True,367.40822157218787
5,511976,2013-09-29,Training,11.62905216217041,122.18442581230518,True,11.533875939138234,12118.442581230518,Negative,Extreme,0nrRP2bk19rLc0orkWPQk2,['Avicii'],lu,1141,1,4,True,366.55327743691555
6,2966984,2015-07-30,Training,11.628202438354492,122.17549791215484,True,11.533026215322316,12117.549791215484,Negative,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",ni,6581,1,4,True,366.52649373646454
7,4201053,2022-08-18,Test,6.056146367281645,63.630875173878366,True,5.960970144249468,6263.087517387837,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",nl,461545,39,4,True,190.8926255216351
8,2963307,2015-07-02,Training,6.051588535308838,63.58298682710854,True,5.956412312276661,6258.298682710854,Positive,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",bg,10594,1,4,True,190.74896048132564
9,2117926,2022-08-18,Test,5.807989968875154,61.023539113457105,True,5.712813745842977,6002.35391134571,Negative,Extreme,3CsYuAe0Oi7t9w1jxWfHob,['Kaho Hung'],hk,70818,42,4,True,183.0706173403713
10,4200061,2022-08-18,Test,5.523021892354063,58.02942916201734,True,5.4278456693218855,5702.942916201734,Positive,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",hu,77615,35,4,True,174.08828748605202
11,4199027,2022-08-18,Test,4.785288442883685,50.27819228827663,True,4.690112219851508,4927.819228827663,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",de,850308,54,4,True,150.8345768648299
12,2963309,2015-07-16,Training,4.499161243438721,47.27190363414258,True,4.403985020406544,4627.190363414258,Negative,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",bg,3852,1,4,True,141.81571090242775
13,4199563,2022-08-18,Test,4.1501409706454915,43.604808411470906,True,4.054964747613314,4260.48084114709,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",fr,678226,44,4,True,130.8144252344127
14,3618103,2022-08-18,Test,3.8289413614600702,40.23002005622349,True,3.7337651384278936,3923.002005622349,Positive,Extreme,5UV2oqgMXvlkOvvtK3aT7f,['mor ve ötesi'],tr,794362,54,4,True,120.69006016867047
15,4201139,2022-08-18,Test,3.6122802493589417,37.953599483956395,True,3.517104026326765,3695.3599483956395,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",no,200775,43,4,True,113.86079845186919
16,2613425,2022-08-18,Test,3.5822578109298715,37.638158951934855,True,3.487081587897695,3663.8158951934856,Negative,Extreme,3w75Uvn1cojNlBhQoxpVP3,['Fabio Asher'],id,2241481,5,4,True,112.91447685580457
17,4198164,2022-08-18,Test,3.482957165780143,36.59482436703378,True,3.387780942747966,3559.482436703378,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",be,160730,28,4,True,109.78447310110134
18,133855,2022-08-18,Test,3.43617340315977,36.10327552079982,True,3.3409971801275935,3510.327552079982,Positive,Extreme,0BWEkqsmPe3qOzrRVztHU3,"['Paulo e Nathan', 'Hugo & Guilherme']",br,2648027,28,4,True,108.30982656239945
19,5034021,2022-08-18,Test,3.389167187801949,35.609389402394704,True,3.2939909647697725,3460.9389402394704,Positive,Extreme,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",sa,35710,41,4,True,106.82816820718412
20,2963308,2015-07-09,Training,3.269824504852295,34.355476616747524,True,3.1746482818201183,3335.5476616747524,Negative,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",bg,6998,1,4,True,103.06642985024257
21,4201571,2022-08-18,Test,3.1299918141463032,32.88627888803835,True,3.0348155911141266,3188.6278888038346,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",pt,132157,28,4,True,98.65883666411504
22,4199506,2022-08-18,Test,3.0887819594706505,32.453294121856565,True,2.993605736438474,3145.3294121856566,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",fi,52274,135,4,True,97.35988236556969
23,3159033,2016-11-10,Training,3.0281524658203125,31.81627059099171,True,2.932976242788136,3081.627059099171,Negative,Extreme,4pdPtRcBmOSQDlJ3Fk945m,"['DJ Snake', 'Justin Bieber']",ad,1108,1,4,True,95.44881177297513
24,4197994,2022-08-18,Test,2.9946560163900062,31.464329230395986,True,2.8994797933578296,3046.432923039599,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",at,83899,32,4,True,94.39298769118795
25,4200638,2022-08-18,Test,2.7368479815847104,28.755585107211594,True,2.6416717585525338,2775.5585107211596,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",lu,11134,13,4,True,86.26675532163478
26,2963310,2015-07-23,Training,2.3749070167541504,24.952734423504626,True,2.2797307937219737,2395.2734423504626,Positive,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",bg,9261,1,4,True,74.85820327051388
27,3159034,2016-11-17,Training,2.363884687423706,24.836924728821554,True,2.2687084643915294,2383.6924728821555,Negative,Extreme,4pdPtRcBmOSQDlJ3Fk945m,"['DJ Snake', 'Justin Bieber']",ad,1069,2,4,True,74.51077418646466
28,4198942,2022-08-18,Test,2.239608877474636,23.531180436919414,True,2.1444326544424595,2253.1180436919412,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",cz,77891,33,4,True,70.59354131075824
29,158175,2016-01-07,Training,2.2213141918182373,23.338961360835526,True,2.1261379687860607,2233.896136083553,Negative,Extreme,0ENSn4fwAbCGeFGVUbXEU3,['Adele'],ad,1033,2,4,True,70.01688408250658
30,4198532,2022-08-18,Test,1.8386449776989784,19.318322571776964,True,1.7434687546668017,1831.8322571776964,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",ch,117827,25,4,True,57.954967715330895
31,1198138,2022-08-18,Test,1.7599166778581556,18.49113803626323,True,1.664740454825979,1749.113803626323,Negative,Extreme,1w3eUC89GPspKpi62tPwjt,['Hoàng Dũng'],vn,102931,56,4,True,55.47341410878969
32,2963311,2015-07-30,Training,1.7506977319717407,18.394276177358634,True,1.655521508939564,1739.4276177358634,Negative,Extreme,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",bg,5058,1,4,True,55.1828285320759
33,1984632,2015-03-22,Training,1.5561645030975342,16.350349420479034,True,1.4609882800653575,1535.0349420479033,Negative,Extreme,32OlwWuMpZ6b0aN2RZOeMS,"['Mark Ronson', 'Bruno Mars']",bg,2059,1,4,True,49.0510482614371
34,4200552,2022-08-18,Test,1.5049782382648256,15.812544250217089,True,1.409802015232649,1481.2544250217088,Negative,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",lt,30507,13,4,True,47.43763275065127
35,4199333,2022-08-18,Test,1.4721873080151051,15.468015656782207,True,1.3770110849829285,1446.8015656782206,Positive,Extreme,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",ee,12276,37,4,True,46.40404697034662
